n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,train_accuracy,val_accuracy,train_val_gap
50,30.0,10,6,,balanced,0.9493243243243243,0.6129032258064516,0.3364210985178727
50,30.0,10,6,,,0.9425675675675675,0.5913978494623656,0.3511697181052019
50,30.0,10,8,sqrt,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,30.0,10,8,sqrt,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,30.0,10,8,log2,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,30.0,10,8,log2,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,30.0,10,8,,balanced,0.9222972972972973,0.6182795698924731,0.30401772740482413
50,30.0,10,8,,,0.9144144144144144,0.6075268817204301,0.3068875326939843
50,30.0,15,1,sqrt,balanced,0.9662162162162162,0.6344086021505376,0.3318076140656786
50,30.0,15,1,sqrt,,0.956081081081081,0.6236559139784946,0.3324251671025864
50,30.0,15,1,log2,balanced,0.9662162162162162,0.6344086021505376,0.3318076140656786
50,30.0,15,1,log2,,0.956081081081081,0.6236559139784946,0.3324251671025864
50,30.0,15,1,,balanced,0.9774774774774775,0.5967741935483871,0.38070328392909036
50,30.0,15,1,,,0.9673423423423423,0.6182795698924731,0.34906277244986916
50,30.0,15,2,sqrt,balanced,0.9605855855855856,0.6397849462365591,0.3208006393490265
50,30.0,15,2,sqrt,,0.954954954954955,0.6397849462365591,0.31517000871839584
50,30.0,15,2,log2,balanced,0.9605855855855856,0.6397849462365591,0.3208006393490265
50,30.0,15,2,log2,,0.954954954954955,0.6397849462365591,0.31517000871839584
50,30.0,15,2,,balanced,0.9673423423423423,0.6290322580645161,0.33831008427782616
50,30.0,15,2,,,0.9605855855855856,0.6129032258064516,0.347682359779134
50,30.0,15,4,sqrt,balanced,0.9448198198198198,0.6344086021505376,0.31041121766928215
50,30.0,15,4,sqrt,,0.9313063063063063,0.6236559139784946,0.30765039232781166
50,30.0,15,4,log2,balanced,0.9448198198198198,0.6344086021505376,0.31041121766928215
50,30.0,15,4,log2,,0.9313063063063063,0.6236559139784946,0.30765039232781166
50,30.0,15,4,,balanced,0.9572072072072072,0.6129032258064516,0.3443039814007556
50,30.0,15,4,,,0.9459459459459459,0.5913978494623656,0.3545480964835803
50,30.0,15,6,sqrt,balanced,0.9346846846846847,0.6021505376344086,0.33253414705027606
50,30.0,15,6,sqrt,,0.9211711711711712,0.6290322580645161,0.2921389131066551
50,30.0,15,6,log2,balanced,0.9346846846846847,0.6021505376344086,0.33253414705027606
50,30.0,15,6,log2,,0.9211711711711712,0.6290322580645161,0.2921389131066551
50,30.0,15,6,,balanced,0.9436936936936937,0.6236559139784946,0.3200377797151991
50,30.0,15,6,,,0.9313063063063063,0.5806451612903226,0.35066114501598367
50,30.0,15,8,sqrt,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,30.0,15,8,sqrt,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,30.0,15,8,log2,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,30.0,15,8,log2,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,30.0,15,8,,balanced,0.9222972972972973,0.6182795698924731,0.30401772740482413
50,30.0,15,8,,,0.9144144144144144,0.6075268817204301,0.3068875326939843
50,40.0,2,1,sqrt,balanced,1.0,0.6344086021505376,0.3655913978494624
50,40.0,2,1,sqrt,,1.0,0.6075268817204301,0.3924731182795699
50,40.0,2,1,log2,balanced,1.0,0.6344086021505376,0.3655913978494624
50,40.0,2,1,log2,,1.0,0.6075268817204301,0.3924731182795699
50,40.0,2,1,,balanced,1.0,0.5967741935483871,0.4032258064516129
50,40.0,2,1,,,1.0,0.6344086021505376,0.3655913978494624
50,40.0,2,2,sqrt,balanced,0.9943693693693694,0.6182795698924731,0.37608979947689625
50,40.0,2,2,sqrt,,0.9977477477477478,0.6344086021505376,0.36333914559721014
50,40.0,2,2,log2,balanced,0.9943693693693694,0.6182795698924731,0.37608979947689625
50,40.0,2,2,log2,,0.9977477477477478,0.6344086021505376,0.36333914559721014
50,40.0,2,2,,balanced,0.9977477477477478,0.6505376344086021,0.34721011333914564
50,40.0,2,2,,,0.9977477477477478,0.6182795698924731,0.37946817785527465
50,40.0,2,4,sqrt,balanced,0.9695945945945946,0.6182795698924731,0.3513150247021215
50,40.0,2,4,sqrt,,0.954954954954955,0.6505376344086021,0.30441732054635284
50,40.0,2,4,log2,balanced,0.9695945945945946,0.6182795698924731,0.3513150247021215
50,40.0,2,4,log2,,0.954954954954955,0.6505376344086021,0.30441732054635284
50,40.0,2,4,,balanced,0.9808558558558559,0.6236559139784946,0.35719994187736126
50,40.0,2,4,,,0.972972972972973,0.6021505376344086,0.3708224353385644
50,40.0,2,6,sqrt,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
50,40.0,2,6,sqrt,,0.9245495495495496,0.6182795698924731,0.3062699796570765
50,40.0,2,6,log2,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
50,40.0,2,6,log2,,0.9245495495495496,0.6182795698924731,0.3062699796570765
50,40.0,2,6,,balanced,0.9493243243243243,0.6129032258064516,0.3364210985178727
50,40.0,2,6,,,0.9425675675675675,0.5913978494623656,0.3511697181052019
50,40.0,2,8,sqrt,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,40.0,2,8,sqrt,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,40.0,2,8,log2,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,40.0,2,8,log2,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,40.0,2,8,,balanced,0.9222972972972973,0.6182795698924731,0.30401772740482413
50,40.0,2,8,,,0.9144144144144144,0.6075268817204301,0.3068875326939843
50,40.0,5,1,sqrt,balanced,1.0,0.6021505376344086,0.3978494623655914
50,40.0,5,1,sqrt,,0.9977477477477478,0.6129032258064516,0.38484452194129615
50,40.0,5,1,log2,balanced,1.0,0.6021505376344086,0.3978494623655914
50,40.0,5,1,log2,,0.9977477477477478,0.6129032258064516,0.38484452194129615
50,40.0,5,1,,balanced,0.9988738738738738,0.5967741935483871,0.4020996803254867
50,40.0,5,1,,,0.9988738738738738,0.6182795698924731,0.3805943039814007
50,40.0,5,2,sqrt,balanced,0.9932432432432432,0.6021505376344086,0.3910927056088346
50,40.0,5,2,sqrt,,0.9921171171171171,0.6505376344086021,0.341579482708515
50,40.0,5,2,log2,balanced,0.9932432432432432,0.6021505376344086,0.3910927056088346
50,40.0,5,2,log2,,0.9921171171171171,0.6505376344086021,0.341579482708515
50,40.0,5,2,,balanced,0.9954954954954955,0.6505376344086021,0.3449578610868934
50,40.0,5,2,,,0.9954954954954955,0.6129032258064516,0.3825922696890439
50,40.0,5,4,sqrt,balanced,0.9695945945945946,0.6182795698924731,0.3513150247021215
50,40.0,5,4,sqrt,,0.954954954954955,0.6505376344086021,0.30441732054635284
50,40.0,5,4,log2,balanced,0.9695945945945946,0.6182795698924731,0.3513150247021215
50,40.0,5,4,log2,,0.954954954954955,0.6505376344086021,0.30441732054635284
50,40.0,5,4,,balanced,0.9808558558558559,0.6236559139784946,0.35719994187736126
50,40.0,5,4,,,0.972972972972973,0.6021505376344086,0.3708224353385644
50,40.0,5,6,sqrt,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
50,40.0,5,6,sqrt,,0.9245495495495496,0.6182795698924731,0.3062699796570765
50,40.0,5,6,log2,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
50,40.0,5,6,log2,,0.9245495495495496,0.6182795698924731,0.3062699796570765
50,40.0,5,6,,balanced,0.9493243243243243,0.6129032258064516,0.3364210985178727
50,40.0,5,6,,,0.9425675675675675,0.5913978494623656,0.3511697181052019
50,40.0,5,8,sqrt,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,40.0,5,8,sqrt,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,40.0,5,8,log2,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,40.0,5,8,log2,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,40.0,5,8,,balanced,0.9222972972972973,0.6182795698924731,0.30401772740482413
50,40.0,5,8,,,0.9144144144144144,0.6075268817204301,0.3068875326939843
50,40.0,10,1,sqrt,balanced,0.9853603603603603,0.6236559139784946,0.3617044463818657
50,40.0,10,1,sqrt,,0.9774774774774775,0.6397849462365591,0.33769253124091836
50,40.0,10,1,log2,balanced,0.9853603603603603,0.6236559139784946,0.3617044463818657
50,40.0,10,1,log2,,0.9774774774774775,0.6397849462365591,0.33769253124091836
50,40.0,10,1,,balanced,0.990990990990991,0.6129032258064516,0.37808776518453935
50,40.0,10,1,,,0.9853603603603603,0.6075268817204301,0.3778334786399302
50,40.0,10,2,sqrt,balanced,0.972972972972973,0.6290322580645161,0.3439407149084569
50,40.0,10,2,sqrt,,0.9650900900900901,0.6236559139784946,0.34143417611159543
50,40.0,10,2,log2,balanced,0.972972972972973,0.6290322580645161,0.3439407149084569
50,40.0,10,2,log2,,0.9650900900900901,0.6236559139784946,0.34143417611159543
50,40.0,10,2,,balanced,0.9864864864864865,0.6290322580645161,0.3574542284219704
50,40.0,10,2,,,0.9819819819819819,0.5967741935483871,0.3852077884335948
50,40.0,10,4,sqrt,balanced,0.9718468468468469,0.6559139784946236,0.31593286835222323
50,40.0,10,4,sqrt,,0.9527027027027027,0.6182795698924731,0.3344231328102296
50,40.0,10,4,log2,balanced,0.9718468468468469,0.6559139784946236,0.31593286835222323
50,40.0,10,4,log2,,0.9527027027027027,0.6182795698924731,0.3344231328102296
50,40.0,10,4,,balanced,0.9752252252252253,0.6075268817204301,0.36769834350479513
50,40.0,10,4,,,0.9650900900900901,0.5806451612903226,0.38444492879976744
50,40.0,10,6,sqrt,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
50,40.0,10,6,sqrt,,0.9245495495495496,0.6182795698924731,0.3062699796570765
50,40.0,10,6,log2,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
50,40.0,10,6,log2,,0.9245495495495496,0.6182795698924731,0.3062699796570765
50,40.0,10,6,,balanced,0.9493243243243243,0.6129032258064516,0.3364210985178727
50,40.0,10,6,,,0.9425675675675675,0.5913978494623656,0.3511697181052019
50,40.0,10,8,sqrt,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,40.0,10,8,sqrt,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,40.0,10,8,log2,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,40.0,10,8,log2,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,40.0,10,8,,balanced,0.9222972972972973,0.6182795698924731,0.30401772740482413
50,40.0,10,8,,,0.9144144144144144,0.6075268817204301,0.3068875326939843
50,40.0,15,1,sqrt,balanced,0.9662162162162162,0.6344086021505376,0.3318076140656786
50,40.0,15,1,sqrt,,0.956081081081081,0.6236559139784946,0.3324251671025864
50,40.0,15,1,log2,balanced,0.9662162162162162,0.6344086021505376,0.3318076140656786
50,40.0,15,1,log2,,0.956081081081081,0.6236559139784946,0.3324251671025864
50,40.0,15,1,,balanced,0.9774774774774775,0.5967741935483871,0.38070328392909036
50,40.0,15,1,,,0.9673423423423423,0.6182795698924731,0.34906277244986916
50,40.0,15,2,sqrt,balanced,0.9605855855855856,0.6397849462365591,0.3208006393490265
50,40.0,15,2,sqrt,,0.954954954954955,0.6397849462365591,0.31517000871839584
50,40.0,15,2,log2,balanced,0.9605855855855856,0.6397849462365591,0.3208006393490265
50,40.0,15,2,log2,,0.954954954954955,0.6397849462365591,0.31517000871839584
50,40.0,15,2,,balanced,0.9673423423423423,0.6290322580645161,0.33831008427782616
50,40.0,15,2,,,0.9605855855855856,0.6129032258064516,0.347682359779134
50,40.0,15,4,sqrt,balanced,0.9448198198198198,0.6344086021505376,0.31041121766928215
50,40.0,15,4,sqrt,,0.9313063063063063,0.6236559139784946,0.30765039232781166
50,40.0,15,4,log2,balanced,0.9448198198198198,0.6344086021505376,0.31041121766928215
50,40.0,15,4,log2,,0.9313063063063063,0.6236559139784946,0.30765039232781166
50,40.0,15,4,,balanced,0.9572072072072072,0.6129032258064516,0.3443039814007556
50,40.0,15,4,,,0.9459459459459459,0.5913978494623656,0.3545480964835803
50,40.0,15,6,sqrt,balanced,0.9346846846846847,0.6021505376344086,0.33253414705027606
50,40.0,15,6,sqrt,,0.9211711711711712,0.6290322580645161,0.2921389131066551
50,40.0,15,6,log2,balanced,0.9346846846846847,0.6021505376344086,0.33253414705027606
50,40.0,15,6,log2,,0.9211711711711712,0.6290322580645161,0.2921389131066551
50,40.0,15,6,,balanced,0.9436936936936937,0.6236559139784946,0.3200377797151991
50,40.0,15,6,,,0.9313063063063063,0.5806451612903226,0.35066114501598367
50,40.0,15,8,sqrt,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,40.0,15,8,sqrt,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,40.0,15,8,log2,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,40.0,15,8,log2,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,40.0,15,8,,balanced,0.9222972972972973,0.6182795698924731,0.30401772740482413
50,40.0,15,8,,,0.9144144144144144,0.6075268817204301,0.3068875326939843
50,50.0,2,1,sqrt,balanced,1.0,0.6344086021505376,0.3655913978494624
50,50.0,2,1,sqrt,,1.0,0.6075268817204301,0.3924731182795699
50,50.0,2,1,log2,balanced,1.0,0.6344086021505376,0.3655913978494624
50,50.0,2,1,log2,,1.0,0.6075268817204301,0.3924731182795699
50,50.0,2,1,,balanced,1.0,0.5967741935483871,0.4032258064516129
50,50.0,2,1,,,1.0,0.6344086021505376,0.3655913978494624
50,50.0,2,2,sqrt,balanced,0.9943693693693694,0.6182795698924731,0.37608979947689625
50,50.0,2,2,sqrt,,0.9977477477477478,0.6344086021505376,0.36333914559721014
50,50.0,2,2,log2,balanced,0.9943693693693694,0.6182795698924731,0.37608979947689625
50,50.0,2,2,log2,,0.9977477477477478,0.6344086021505376,0.36333914559721014
50,50.0,2,2,,balanced,0.9977477477477478,0.6505376344086021,0.34721011333914564
50,50.0,2,2,,,0.9977477477477478,0.6182795698924731,0.37946817785527465
50,50.0,2,4,sqrt,balanced,0.9695945945945946,0.6182795698924731,0.3513150247021215
50,50.0,2,4,sqrt,,0.954954954954955,0.6505376344086021,0.30441732054635284
50,50.0,2,4,log2,balanced,0.9695945945945946,0.6182795698924731,0.3513150247021215
50,50.0,2,4,log2,,0.954954954954955,0.6505376344086021,0.30441732054635284
50,50.0,2,4,,balanced,0.9808558558558559,0.6236559139784946,0.35719994187736126
50,50.0,2,4,,,0.972972972972973,0.6021505376344086,0.3708224353385644
50,50.0,2,6,sqrt,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
50,50.0,2,6,sqrt,,0.9245495495495496,0.6182795698924731,0.3062699796570765
50,50.0,2,6,log2,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
50,50.0,2,6,log2,,0.9245495495495496,0.6182795698924731,0.3062699796570765
50,50.0,2,6,,balanced,0.9493243243243243,0.6129032258064516,0.3364210985178727
50,50.0,2,6,,,0.9425675675675675,0.5913978494623656,0.3511697181052019
50,50.0,2,8,sqrt,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,50.0,2,8,sqrt,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,50.0,2,8,log2,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,50.0,2,8,log2,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,50.0,2,8,,balanced,0.9222972972972973,0.6182795698924731,0.30401772740482413
50,50.0,2,8,,,0.9144144144144144,0.6075268817204301,0.3068875326939843
50,50.0,5,1,sqrt,balanced,1.0,0.6021505376344086,0.3978494623655914
50,50.0,5,1,sqrt,,0.9977477477477478,0.6075268817204301,0.39022086602731765
50,50.0,5,1,log2,balanced,1.0,0.6021505376344086,0.3978494623655914
50,50.0,5,1,log2,,0.9977477477477478,0.6129032258064516,0.38484452194129615
50,50.0,5,1,,balanced,0.9988738738738738,0.5967741935483871,0.4020996803254867
50,50.0,5,1,,,0.9988738738738738,0.6182795698924731,0.3805943039814007
50,50.0,5,2,sqrt,balanced,0.9932432432432432,0.6021505376344086,0.3910927056088346
50,50.0,5,2,sqrt,,0.9921171171171171,0.6505376344086021,0.341579482708515
50,50.0,5,2,log2,balanced,0.9932432432432432,0.6021505376344086,0.3910927056088346
50,50.0,5,2,log2,,0.9921171171171171,0.6505376344086021,0.341579482708515
50,50.0,5,2,,balanced,0.9954954954954955,0.6505376344086021,0.3449578610868934
50,50.0,5,2,,,0.9954954954954955,0.6129032258064516,0.3825922696890439
50,50.0,5,4,sqrt,balanced,0.9695945945945946,0.6182795698924731,0.3513150247021215
50,50.0,5,4,sqrt,,0.954954954954955,0.6505376344086021,0.30441732054635284
50,50.0,5,4,log2,balanced,0.9695945945945946,0.6182795698924731,0.3513150247021215
50,50.0,5,4,log2,,0.954954954954955,0.6505376344086021,0.30441732054635284
50,50.0,5,4,,balanced,0.9808558558558559,0.6236559139784946,0.35719994187736126
50,50.0,5,4,,,0.972972972972973,0.6021505376344086,0.3708224353385644
50,50.0,5,6,sqrt,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
50,50.0,5,6,sqrt,,0.9245495495495496,0.6182795698924731,0.3062699796570765
50,50.0,5,6,log2,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
50,50.0,5,6,log2,,0.9245495495495496,0.6182795698924731,0.3062699796570765
50,50.0,5,6,,balanced,0.9493243243243243,0.6129032258064516,0.3364210985178727
50,50.0,5,6,,,0.9425675675675675,0.5913978494623656,0.3511697181052019
50,50.0,5,8,sqrt,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,50.0,5,8,sqrt,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,50.0,5,8,log2,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,50.0,5,8,log2,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,50.0,5,8,,balanced,0.9222972972972973,0.6182795698924731,0.30401772740482413
50,50.0,5,8,,,0.9144144144144144,0.6075268817204301,0.3068875326939843
50,50.0,10,1,sqrt,balanced,0.9853603603603603,0.6236559139784946,0.3617044463818657
50,50.0,10,1,sqrt,,0.9774774774774775,0.6397849462365591,0.33769253124091836
50,50.0,10,1,log2,balanced,0.9853603603603603,0.6236559139784946,0.3617044463818657
50,50.0,10,1,log2,,0.9774774774774775,0.6397849462365591,0.33769253124091836
50,50.0,10,1,,balanced,0.990990990990991,0.6129032258064516,0.37808776518453935
50,50.0,10,1,,,0.9853603603603603,0.6075268817204301,0.3778334786399302
50,50.0,10,2,sqrt,balanced,0.972972972972973,0.6290322580645161,0.3439407149084569
50,50.0,10,2,sqrt,,0.9650900900900901,0.6236559139784946,0.34143417611159543
50,50.0,10,2,log2,balanced,0.972972972972973,0.6290322580645161,0.3439407149084569
50,50.0,10,2,log2,,0.9650900900900901,0.6236559139784946,0.34143417611159543
50,50.0,10,2,,balanced,0.9864864864864865,0.6290322580645161,0.3574542284219704
50,50.0,10,2,,,0.9819819819819819,0.5967741935483871,0.3852077884335948
50,50.0,10,4,sqrt,balanced,0.9718468468468469,0.6559139784946236,0.31593286835222323
50,50.0,10,4,sqrt,,0.9527027027027027,0.6182795698924731,0.3344231328102296
50,50.0,10,4,log2,balanced,0.9718468468468469,0.6559139784946236,0.31593286835222323
50,50.0,10,4,log2,,0.9527027027027027,0.6182795698924731,0.3344231328102296
50,50.0,10,4,,balanced,0.9752252252252253,0.6075268817204301,0.36769834350479513
50,50.0,10,4,,,0.9650900900900901,0.5806451612903226,0.38444492879976744
50,50.0,10,6,sqrt,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
50,50.0,10,6,sqrt,,0.9245495495495496,0.6182795698924731,0.3062699796570765
50,50.0,10,6,log2,balanced,0.9369369369369369,0.6182795698924731,0.3186573670444638
50,50.0,10,6,log2,,0.9245495495495496,0.6182795698924731,0.3062699796570765
50,50.0,10,6,,balanced,0.9493243243243243,0.6129032258064516,0.3364210985178727
50,50.0,10,6,,,0.9425675675675675,0.5913978494623656,0.3511697181052019
50,50.0,10,8,sqrt,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,50.0,10,8,sqrt,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,50.0,10,8,log2,balanced,0.9121621621621622,0.6505376344086021,0.26162452775356004
50,50.0,10,8,log2,,0.9031531531531531,0.6236559139784946,0.2794972391746585
50,50.0,10,8,,balanced,0.9222972972972973,0.6182795698924731,0.30401772740482413
50,50.0,10,8,,,0.9144144144144144,0.6075268817204301,0.3068875326939843
50,50.0,15,1,sqrt,balanced,0.9662162162162162,0.6344086021505376,0.3318076140656786
50,50.0,15,1,sqrt,,0.956081081081081,0.6236559139784946,0.3324251671025864
50,50.0,15,1,log2,balanced,0.9662162162162162,0.6344086021505376,0.3318076140656786
50,50.0,15,1,log2,,0.956081081081081,0.6236559139784946,0.3324251671025864
50,50.0,15,1,,balanced,0.9774774774774775,0.5967741935483871,0.38070328392909036
50,50.0,15,1,,,0.9673423423423423,0.6182795698924731,0.34906277244986916
50,50.0,15,2,sqrt,balanced,0.9605855855855856,0.6397849462365591,0.3208006393490265
50,50.0,15,2,sqrt,,0.954954954954955,0.6397849462365591,0.31517000871839584
50,50.0,15,2,log2,balanced,0.9605855855855856,0.6397849462365591,0.3208006393490265
